NAME,CLUBS,ATWins,ATLosses,winRatio,poolWins,poolLosses,poolWinRatio,DEWins,DELosses,DEWinRatio
"
                    John Elder",Nazlymov Fencing Foundation,64,148,30.2%,56,122,31.5%,8,26,23.5%
"
                    Wren Gully",San Diego Fencing Center / No Fear Fencing,54,109,33.1%,49,87,36.0%,5,22,18.5%
"
                    Nathan Munguia",LA Fencing Academy of Pomona,427,271,61.2%,302,192,61.1%,125,79,61.3%
"
                    Malik Resheidat",IndySabre / Indianapolis Fencing Club,287,212,57.5%,208,154,57.5%,79,58,57.7%
"
                    Olivia Dai",Bergen Fencing Club,341,423,44.6%,258,325,44.3%,83,98,45.9%
"
                    Vasilisa Tikhonova",Bay Area Fencing Club,67,145,31.6%,51,118,30.2%,16,27,37.2%
"
                    Jia Le Sean Ho",AIC  Fencing Club,181,79,69.6%,121,54,69.1%,60,25,70.6%
"
                    Elan Tan",Battle Born Fencing Club,9,11,45.0%,7,8,46.7%,2,3,40.0%
"
                    Christopher Shankwiler",Nellya Fencers / North Atlanta High School Fencing Team (Saber & Foil),353,241,59.4%,259,173,60.0%,94,68,58.0%
"
                    David Hite",Candlewood Fencing Center,4,2,66.7%,3,1,75.0%,1,1,50.0%
"
                    Renata Chusid",Gutkovskiy Fencing Academy / Cornell University NCAA,311,109,74.0%,215,63,77.3%,96,46,67.6%
"
                    Chu Ming Aiden Leung",Golubitsky Fencing Center,234,163,58.9%,177,116,60.4%,57,47,54.8%
"
                    Jackson Sullivan",Moe Fencing Club LLC / Brandeis University NCAA,443,174,71.8%,316,111,74.0%,127,63,66.8%
"
                    Yudi Wang",Star Fencing Academy,215,305,41.3%,167,238,41.2%,48,67,41.7%
"
                    Sophia Harrold",Worcester Fencing Club,24,25,49.0%,19,19,50.0%,5,6,45.5%
"
                    Sarah Lacson",Cornell University NCAA / Laguna Fencing Center,171,163,51.2%,135,123,52.3%,36,40,47.4%
"
                    Alexander Bucevicius",Omaha Fencing Club / Lincoln Fencing Club,6,2,75.0%,4,1,80.0%,2,1,66.7%
"
                    William Zhang",Cavalier Fencing Club,226,296,43.3%,178,224,44.3%,48,72,40.0%
"
                    Cameron Garrison",Beverly Hills Fencers' Club,22,18,55.0%,16,13,55.2%,6,5,54.5%
"
                    Braden Wu",Globus Fencing Academy,17,6,73.9%,12,3,80.0%,5,3,62.5%
"
                    joshua sagastizado",Hills Fencing Institute (H3),26,23,53.1%,19,17,52.8%,7,6,53.8%
"
                    Mark Dammer",Hills Fencing Institute (H3),87,39,69.0%,68,25,73.1%,19,14,57.6%
"
                    Imran Faridi",Columbus Fencing And Fitness LLC,112,144,43.8%,88,116,43.1%,24,28,46.2%
"
                    Jacob Lu",Kaizen Academy LLC,293,139,67.8%,211,91,69.9%,82,48,63.1%
"
                    Cynthia Lucente",Richmond Fencing Club,4,3,57.1%,3,2,60.0%,1,1,50.0%
"
                    Greta Yuan",Bergen Fencing Club / Platinum Fencing Academy,507,384,56.9%,393,274,58.9%,114,110,50.9%
"
                    Matthew Li",AIC  Fencing Club,817,484,62.8%,581,337,63.3%,236,147,61.6%
"
                    Sofiia Vinogorova",Fencing Academy Of Denver,294,111,72.6%,205,70,74.5%,89,41,68.5%
"
                    William Yu",AIC  Fencing Club,208,315,39.8%,168,242,41.0%,40,73,35.4%
"
                    Richard Helmy",Candlewood Fencing Center,201,198,50.4%,162,148,52.3%,39,50,43.8%
"
                    Isaiah Merriam",Wasatch Fencing,109,80,57.7%,81,53,60.4%,28,27,50.9%
"
                    Tianji Lukins",Massialas Foundation (M Team) / University Of Notre Dame NCAA,37,35,51.4%,32,27,54.2%,5,8,38.5%
"
                    Ho(Daniel) Jung",Olympic Fencers Club,119,50,70.4%,82,32,71.9%,37,18,67.3%
"
                    Luke Vaid",Nellya Fencers,366,173,67.9%,271,111,70.9%,95,62,60.5%
"
                    Stephen Yarosh",Fencing Academy Of Denver,88,53,62.4%,67,35,65.7%,21,18,53.8%
"
                    Shuayb Dinkins",Wayne State University NCAA / Windy City Fencing-Chicago,115,94,55.0%,88,69,56.1%,27,25,51.9%
"
                    Jacob Brown",Northwest Fencing Center / High Desert Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Dina Dank",Bergen Fencing Club,277,221,55.6%,228,159,58.9%,49,62,44.1%
"
                    Andrew Fischl",Globus Fencing Academy / New York Athletic Club,-,-,-,-,-,-,-,-,-
"
                    Graham Skinner",Boston Fencing Club,294,138,68.1%,214,90,70.4%,80,48,62.5%
"
                    Miron Manescu",Advance Fencing And Fitness Academy,84,170,33.1%,68,134,33.7%,16,36,30.8%
"
                    Christopher Aheron",Forge Fencing Teams,8,6,57.1%,6,4,60.0%,2,2,50.0%
"
                    Shalini Dantuluri",Nellya Fencers,305,230,57.0%,228,165,58.0%,77,65,54.2%
"
                    Thomas Hanahan",Indianapolis Fencing Club,67,40,62.6%,47,27,63.5%,20,13,60.6%
"
                    Drithi Pinnamaneni",Penta Olympic Fencing Club,365,336,52.1%,284,251,53.1%,81,85,48.8%
"
                    Armine Freeman",Boston Fencing Club,106,132,44.5%,89,100,47.1%,17,32,34.7%
"
                    Derek Kim",Elite Fencing Academy (VA) / Elite Fencing Academy (GA),85,73,53.8%,59,57,50.9%,26,16,61.9%
"
                    Aaron Gaines",No Fear Fencing / San Diego Fencing Center,166,78,68.0%,115,51,69.3%,51,27,65.4%
"
                    Ellen Tang",Windy City Fencing-Chicago,47,127,27.0%,41,105,28.1%,6,22,21.4%
"
                    Dick Weber",Denver Fencing Center,30,96,23.8%,26,77,25.2%,4,19,17.4%
"
                    Kira Shertz",Northwest Fencing Center,117,227,34.0%,93,193,32.5%,24,34,41.4%
"
                    Maxwell Tse",North Shore Fencers Club,291,117,71.3%,199,76,72.4%,92,41,69.2%
"
                    Murad Mohamed",AIC  Fencing Club,321,200,61.6%,247,136,64.5%,74,64,53.6%
"
                    Zachary Showalter",Richmond Fencing Club,21,10,67.7%,15,7,68.2%,6,3,66.7%
"
                    Eliza Avramova",Texas Fencing Academy,7,7,50.0%,5,5,50.0%,2,2,50.0%
"
                    Iain Semp",Richmond Fencing Club,175,156,52.9%,132,116,53.2%,43,40,51.8%
"
                    Noah Silvers",University Of Notre Dame NCAA / Windy City Fencing-Chicago,498,168,74.8%,339,102,76.9%,159,66,70.7%
"
                    James Lin",Gutkovskiy Fencing Academy,856,425,66.8%,621,274,69.4%,235,151,60.9%
"
                    Aurora Colter",Fencing Academy Of Denver / Denver Fencing Center,164,225,42.2%,130,177,42.3%,34,48,41.5%
"
                    Veronica Mika",Advance Fencing And Fitness Academy,562,228,71.1%,378,145,72.3%,184,83,68.9%
"
                    Daniil Mazur",Penta Olympic Fencing Club,226,49,82.2%,137,30,82.0%,89,19,82.4%
"
                    Aedin Lai",Marx Fencing Academy / Cavalier Fencing Club,465,418,52.7%,343,306,52.9%,122,112,52.1%
"
                    Gareth Moo",Moe Fencing Club LLC,13,27,32.5%,12,21,36.4%,1,6,14.3%
"
                    Corbin Stephens",Richmond Fencing Club / NMFC/Duke City Fencing,190,141,57.4%,140,102,57.9%,50,39,56.2%
"
                    Michelle meyerson",International Fencing Club,195,172,53.1%,147,123,54.4%,48,49,49.5%
"
                    Richard LI",Star Fencing Academy,1075,287,78.9%,700,154,82.0%,375,133,73.8%
"
                    Connor Woodward",Research Triangle Fencing / Nazlymov Fencing Foundation,534,290,64.8%,385,202,65.6%,149,88,62.9%
"
                    Robby Tarchichi",Pittsburgh Fencers Club,51,36,58.6%,41,25,62.1%,10,11,47.6%
"
                    Ava Hobson",Massialas Foundation (M Team),386,450,46.2%,317,337,48.5%,69,113,37.9%
"
                    Gweniveve Zoldan",RedStar Fencing Club Chicago,214,235,47.7%,170,177,49.0%,44,58,43.1%
"
                    Dale Peterson",Tim Morehouse Fencing Club (Port Chester),42,56,42.9%,37,42,46.8%,5,14,26.3%
"
                    Diego Fukuda",Massialas Foundation (M Team),722,413,63.6%,522,280,65.1%,200,133,60.1%
"
                    Jerry Gong",International Fencing Club,531,414,56.2%,384,299,56.2%,147,115,56.1%
"
                    Viviene Goor",Massialas Foundation (M Team),810,304,72.7%,556,190,74.5%,254,114,69.0%
"
                    Hamzah Salman",Globus Fencing Academy,138,165,45.5%,111,125,47.0%,27,40,40.3%
"
                    Emilia Salistra",The Fencing Center,144,153,48.5%,111,116,48.9%,33,37,47.1%
"
                    Steven Pressendo",Richmond Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Lucas Mao",AIC  Fencing Club,621,419,59.7%,459,291,61.2%,162,128,55.9%
"
                    Joshua Fair",Richmond Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Whitney Lapper",Manchen Academy Of Fencing,62,120,34.1%,50,99,33.6%,12,21,36.4%
"
                    Mahala Lambert",Northwest Fencing Center,220,130,62.9%,160,88,64.5%,60,42,58.8%
"
                    Savannah Stern",Windy City Fencing-Chicago,136,159,46.1%,119,116,50.6%,17,43,28.3%
"
                    Savannah Li",Tim Morehouse Fencing Club (Port Chester),287,349,45.1%,212,263,44.6%,75,86,46.6%
"
                    Molly Veerkamp",Rochester Fencing Club,154,162,48.7%,120,130,48.0%,34,32,51.5%
"
                    Patrick Malloy",Olympic Fencers Club / Georgia Southern University Fencing Club,236,62,79.2%,159,33,82.8%,77,29,72.6%
"
                    Lisa Bell (Marx)",Marx Fencing Academy,7,8,46.7%,4,6,40.0%,3,2,60.0%
"
                    Bryan Wang",Olympic Fencers Club,186,95,66.2%,135,63,68.2%,51,32,61.4%
"
                    Alison Hwang",Golubitsky Fencing Center,299,321,48.2%,243,240,50.3%,56,81,40.9%
"
                    Aidan Miller",Vivo Fencing Club,307,250,55.1%,226,182,55.4%,81,68,54.4%
"
                    Charles Bing",Star Fencing Academy,772,410,65.3%,576,273,67.8%,196,137,58.9%
"
                    Jessie Long",LA Fencing Academy of Pomona,177,130,57.7%,126,93,57.5%,51,37,58.0%
"
                    Samuel Borisenko",Windy City Fencing-Chicago,345,282,55.0%,251,205,55.0%,94,77,55.0%
"
                    Zahra Aneziokoro",Windy City Fencing-Chicago,68,74,47.9%,49,57,46.2%,19,17,52.8%
"
                    Patrick Li",Denver Fencing Center,468,288,61.9%,346,196,63.8%,122,92,57.0%
"
                    Christopher Cortez",Integrity Fencing Studio / Cobra Fencing Club LLC,232,143,61.9%,164,101,61.9%,68,42,61.8%
"
                    Hailey Cashman",Heartland Fencing Academy,186,88,67.9%,130,57,69.5%,56,31,64.4%
"
                    Gabriel Acuna",Houston Sword Sports,99,29,77.3%,67,15,81.7%,32,14,69.6%
"
                    Lou Mariani",The Fencing Center,333,203,62.1%,250,136,64.8%,83,67,55.3%
"
                    Barry Litt",Marx Fencing Academy / Marx Fencing Academy,-,-,-,-,-,-,-,-,-
"
                    Owen Poehnelt",Manchen Academy Of Fencing,27,8,77.1%,17,5,77.3%,10,3,76.9%
"
                    Audrey Feng",Star Fencing Academy,233,227,50.7%,173,166,51.0%,60,61,49.6%
"
                    Iris Yang",Tim Morehouse Fencing Club (Port Chester),1070,378,73.9%,739,225,76.7%,331,153,68.4%
"
                    Maxim Lin",International Fencing Club,391,182,68.2%,274,116,70.3%,117,66,63.9%
"
                    Walter Musgrave",San Diego Fencing Center,28,16,63.6%,23,10,69.7%,5,6,45.5%
"
                    Meera Desai",Elite Fencing Academy (VA) / Elite Fencing Academy (GA),539,372,59.2%,420,261,61.7%,119,111,51.7%
"
                    Aaryan Patil",Southern California Fencing Academy (SOCALFA) / Southern California Fencing Academy (SOCALFA),453,289,61.1%,350,195,64.2%,103,94,52.3%
"
                    Ian Flynn",Heartland Fencing Academy,113,127,47.1%,87,100,46.5%,26,27,49.1%
"
                    Brian Cai",Fencers Club Inc. / Olympic Fencers Club,180,121,59.8%,135,85,61.4%,45,36,55.6%
"
                    Anna Kalishman",Sheridan Fencing Academy,12,29,29.3%,10,24,29.4%,2,5,28.6%
"
                    Jovan Jovanovic",Fencing Center Of Chicago,447,109,80.4%,279,69,80.2%,168,40,80.8%
"
                    Nicholas Quan",International Fencing Club / Fencers Club Inc.,200,129,60.8%,158,90,63.7%,42,39,51.9%
"
                    Zhiheng He",East Bay Fencers Gym,218,198,52.4%,176,152,53.7%,42,46,47.7%
"
                    John Clayman",Denver Fencing Center / Denver Fencing Foundation,190,158,54.6%,134,122,52.3%,56,36,60.9%
"
                    Catherine zhou",Tim Morehouse Fencing Club (Port Chester),354,308,53.5%,269,226,54.3%,85,82,50.9%
"
                    Deborah Theriault",Pittsburgh Fencers Club,40,31,56.3%,29,22,56.9%,11,9,55.0%
"
                    Chloe Gouhin",Columbia University NCAA / Columbus Fencing And Fitness LLC,222,80,73.5%,159,45,77.9%,63,35,64.3%
"
                    Nicole Yu",Marx Fencing Academy,623,329,65.4%,436,224,66.1%,187,105,64.0%
"
                    Terry (Reno) Hardison",Nellya Fencers,57,26,68.7%,38,19,66.7%,19,7,73.1%
"
                    Linda J. Dunn",IndySabre / Indianapolis Fencing Club,135,79,63.1%,104,52,66.7%,31,27,53.4%
"
                    Trinity Wang",Rockland Fencers Club / Wanglei International Fencing Club,106,55,65.8%,77,37,67.5%,29,18,61.7%
"
                    Clark McCord",Pittsburgh Fencers Club,150,109,57.9%,112,81,58.0%,38,28,57.6%
"
                    Jeff Kim",Elite Fencing Academy (GA) / Elite Fencing Academy (VA),104,174,37.4%,85,136,38.5%,19,38,33.3%
"
                    Teddy Ogborn",Denver Fencing Center,16,6,72.7%,12,3,80.0%,4,3,57.1%
"
                    Kebron Zewda",Rochester Fencing Club / Rochester Fencing Club,39,39,50.0%,32,31,50.8%,7,8,46.7%
"
                    Naoum Issa",RedStar Fencing Club Chicago,56,65,46.3%,44,48,47.8%,12,17,41.4%
"
                    Nicholas Kakehi",Oregon Fencing Alliance,245,179,57.8%,181,127,58.8%,64,52,55.2%
"
                    Henry Chang",East Bay Fencers Gym,28,21,57.1%,24,14,63.2%,4,7,36.4%
"
                    Sylvia Urdaneta Largura",RedStar Fencing Club Chicago,80,77,51.0%,60,55,52.2%,20,22,47.6%
"
                    Hannah Jenkins",Moe Fencing Club LLC,82,86,48.8%,60,66,47.6%,22,20,52.4%
"
                    Tate Nguyen",Windy City Fencing-Chicago,476,287,62.4%,336,204,62.2%,140,83,62.8%
"
                    Jose Cancelo",Windy City Fencing-Chicago,20,21,48.8%,17,15,53.1%,3,6,33.3%
"
                    Zachary Choi",Maximum Fencing Club,357,238,60.0%,260,169,60.6%,97,69,58.4%
"
                    Ida Choy",Marx Fencing Academy / Seacoast Fencing Club,142,135,51.3%,108,100,51.9%,34,35,49.3%
"
                    Kevin Walsh",Denver Fencing Center / South Denver Fencing Academy,236,133,64.0%,162,95,63.0%,74,38,66.1%
"
                    Kaleah Baird",Southern California Fencing Academy (SOCALFA),53,134,28.3%,45,110,29.0%,8,24,25.0%
"
                    Elliott Chan",Phoenix Fencing Academy,71,170,29.5%,60,139,30.2%,11,31,26.2%
"
                    Rachel Kalina",RedStar Fencing Club Chicago,4,3,57.1%,4,2,66.7%,-,1,0.0%
"
                    Omar Reyes",Space City Fencing Academy,413,285,59.2%,320,198,61.8%,93,87,51.7%
"
                    Miles McLean",Moe Fencing Club LLC,136,82,62.4%,104,53,66.2%,32,29,52.5%
"
                    Catherine Wang",Massialas Foundation (M Team),79,120,39.7%,61,95,39.1%,18,25,41.9%
"
                    Velizar Iliev",Olympian Fencing Club,17,3,85.0%,10,1,90.9%,7,2,77.8%
"
                    Rubin Hong",Globus Fencing Academy,110,77,58.8%,81,56,59.1%,29,21,58.0%
"
                    Leon Dhal",Windy City Fencing-Chicago,148,218,40.4%,108,173,38.4%,40,45,47.1%
"
                    Hanson Chen",Gutkovskiy Fencing Academy,554,220,71.6%,365,142,72.0%,189,78,70.8%
"
                    Rhiannon Elder",Nazlymov Fencing Foundation,17,154,9.9%,13,134,8.8%,4,20,16.7%
"
                    Adam Shanahan",Boston Fencing Club,82,80,50.6%,63,61,50.8%,19,19,50.0%
"
                    Jadeyn Williams",Advance Fencing And Fitness Academy / University Of Notre Dame NCAA,413,104,79.9%,276,61,81.9%,137,43,76.1%
"
                    Mehmet Tepedelenlioglu",East Bay Fencers Gym,222,33,87.1%,131,18,87.9%,91,15,85.8%
"
                    Ella Greenbaum",Nellya Fencers,275,182,60.2%,196,134,59.4%,79,48,62.2%
"
                    Piper Randolph",Team Touche Fencing Center / Team Touche Fencing Center,482,247,66.1%,350,167,67.7%,132,80,62.3%
"
                    Powell Dawson-Teece",Fencing Academy Of Denver,137,158,46.4%,109,122,47.2%,28,36,43.8%
"
                    Andrii Uvarov",San Diego Fencing Center / San Diego Fencing Center,65,49,57.0%,45,35,56.2%,20,14,58.8%
"
                    Brandon Chu",North Shore Fencers Club,110,119,48.0%,85,89,48.9%,25,30,45.5%
"
                    Edward Ward",Beverly Hills Fencers' Club / Harvard-Westlake High School Wolverines,107,67,61.5%,75,49,60.5%,32,18,64.0%
"
                    Charles Hargrove",East Bay Fencers Gym,73,50,59.3%,53,36,59.6%,20,14,58.8%
"
                    Rachel Noh",Penta Olympic Fencing Club,96,194,33.1%,78,155,33.5%,18,39,31.6%
"
                    Theodore Tikhomirov",Windy City Fencing-Chicago,463,398,53.8%,343,291,54.1%,120,107,52.9%
"
                    Alex Rood",East Bay Fencers Gym,89,79,53.0%,66,58,53.2%,23,21,52.3%
"
                    Steven Dazo",Northwest Fencing Center,17,6,73.9%,11,4,73.3%,6,2,75.0%
"
                    Randall Rausch",Texas Fencing Academy,6,2,75.0%,2,2,50.0%,4,-,100.0%
"
                    Kent Iyoki",Northwest Fencing Center,652,228,74.1%,434,142,75.3%,218,86,71.7%
"
                    Joel Kaufman",East Bay Fencers Gym,113,100,53.1%,82,74,52.6%,31,26,54.4%
"
                    Pierce VanderVelde",Boise Fencing Club,57,68,45.6%,45,54,45.5%,12,14,46.2%
"
                    Timofei Nikiforov",The Fencing Center,30,20,60.0%,22,14,61.1%,8,6,57.1%
"
                    Matt Brown",Birmingham Fencing Club,18,31,36.7%,16,23,41.0%,2,8,20.0%
"
                    Magda Skarbonkiewicz",Oregon Fencing Alliance,380,50,88.4%,226,21,91.5%,154,29,84.2%
"
                    Kylie Wynn",Golubitsky Fencing Center,185,149,55.4%,134,106,55.8%,51,43,54.3%
"
                    Adam Barbanell",RedStar Fencing Club Chicago,-,-,-,-,-,-,-,-,-
"
                    Terrill Williams",San Diego Fencing Center,16,13,55.2%,14,9,60.9%,2,4,33.3%
"
                    Aydan Lee",Nazlymov Fencing Foundation,465,267,63.5%,346,181,65.7%,119,86,58.0%
"
                    Sean Ameli",Battle Born Fencing Club,67,25,72.8%,46,16,74.2%,21,9,70.0%
"
                    Rachel Lewis",Rocky Mountain Fencing Academy / Denver Fencing Center,240,383,38.5%,191,302,38.7%,49,81,37.7%
"
                    Steven Miall",Moe Fencing Club LLC,454,176,72.1%,318,109,74.5%,136,67,67.0%
"
                    Leanne Singleton-Comfort",US Air Force Academy NCAA University / Fencing Academy Of Denver,175,69,71.7%,116,45,72.0%,59,24,71.1%
"
                    Thomas Levchook",Freehold Fencing Academy,112,115,49.3%,88,87,50.3%,24,28,46.2%
"
                    Paul Rosenthal",Sheridan Fencing Academy / Sheridan Fencing Academy of Westchester,17,35,32.7%,14,27,34.1%,3,8,27.3%
"
                    Rahm Fishman",Penta Olympic Fencing Club,192,114,62.7%,137,77,64.0%,55,37,59.8%
"
                    Joshua Lo",Boston Fencing Club,225,113,66.6%,164,73,69.2%,61,40,60.4%
"
                    Yenna Kang",Elite Fencing Academy (VA) / Elite Fencing Academy (GA),115,93,55.3%,87,66,56.9%,28,27,50.9%
"
                    MATTHEW MEJIA",Space City Fencing Academy,729,438,62.5%,518,310,62.6%,211,128,62.2%
"
                    Uta Hibino",RedStar Fencing Club Chicago,76,70,52.1%,60,50,54.5%,16,20,44.4%
"
                    Brendan McConville",Cape Fear Fencing Association / Forge Fencing Teams,17,29,37.0%,14,22,38.9%,3,7,30.0%
"
                    Casey Wohlers",Seacoast Fencing Club,6,43,12.2%,6,39,13.3%,-,4,0.0%
"
                    John Carroll",Worcester Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Les Andrzejewski",Mile High Fencing Club / Denver Fencing Center,5,6,45.5%,4,4,50.0%,1,2,33.3%
"
                    Iris Zimmermann ",Rochester Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Jake Nittel",Manchen Academy Of Fencing,48,48,50.0%,35,37,48.6%,13,11,54.2%
"
                    Patrick Enoiu",Fencing Center Of Chicago,11,27,28.9%,9,22,29.0%,2,5,28.6%
"
                    JAson Sobon",Freehold Fencing Academy,37,31,54.4%,28,22,56.0%,9,9,50.0%
"
                    Matthew Gonzalez",Massialas Foundation (M Team),52,129,28.7%,45,106,29.8%,7,23,23.3%
"
                    James Grady",Seacoast Fencing Club,8,6,57.1%,6,4,60.0%,2,2,50.0%
"
                    Johnny Arden",Sheridan Fencing Academy / Vassar College Fencing Club NCAA,-,-,-,-,-,-,-,-,-
"
                    Marisa Green",Star Fencing Academy,28,40,41.2%,21,34,38.2%,7,6,53.8%
"
                    Cosima Martus",Denver Fencing Center,119,86,58.0%,95,67,58.6%,24,19,55.8%
"
                    Lauren Foley",Denver Fencing Center,51,51,50.0%,39,37,51.3%,12,14,46.2%
"
                    Young Chan Lee",Penta Olympic Fencing Club,-,-,-,-,-,-,-,-,-
"
                    David Westphal",NMFC/Duke City Fencing / Denver Fencing Center,225,122,64.8%,166,81,67.2%,59,41,59.0%
"
                    Ilia Andreev",Nellya Fencers,30,5,85.7%,21,2,91.3%,9,3,75.0%
"
                    Andrew Visconti",Freehold Fencing Academy,134,186,41.9%,107,140,43.3%,27,46,37.0%
"
                    Nick Bentley",Rhode Island Fencing Academy And Club,28,24,53.8%,21,18,53.8%,7,6,53.8%
"
                    Luculentus Kong",Moe Fencing Club LLC,142,159,47.2%,104,120,46.4%,38,39,49.4%
"
                    Danica Hao",Moe Fencing Club LLC,335,211,61.4%,240,145,62.3%,95,66,59.0%
"
                    Philippe Guy",Spartak,29,12,70.7%,22,7,75.9%,7,5,58.3%
"
                    Maxim Piterbarg",Tim Morehouse Fencing Club (Port Chester),250,266,48.4%,190,199,48.8%,60,67,47.2%
"
                    Changhee Han",Gutkovskiy Fencing Academy,140,81,63.3%,95,58,62.1%,45,23,66.2%
"
                    Davin Meggers",Penta Olympic Fencing Club,211,229,48.0%,159,174,47.7%,52,55,48.6%
"
                    Ana Beckman",Windy City Fencing-Chicago,505,252,66.7%,352,171,67.3%,153,81,65.4%
"
                    Anika Sinha",Advance Fencing And Fitness Academy,481,370,56.5%,357,271,56.8%,124,99,55.6%
"
                    Alexis Chew",Golubitsky Fencing Center,519,212,71.0%,361,130,73.5%,158,82,65.8%
"
                    Caidan Gray",Denver Fencing Center,58,61,48.7%,41,46,47.1%,17,15,53.1%
"
                    Marisol Taylor-Casamayor",Rochester Fencing Club,100,283,26.1%,84,235,26.3%,16,48,25.0%
"
                    Leonid Kotov",Phoenix Fencing Academy / Salt City Swords Fencing Club,319,270,54.2%,228,202,53.0%,91,68,57.2%
"
                    Roger WU",University Of California San Diego NCAA / LA Fencing Academy of Pomona,317,117,73.0%,213,73,74.5%,104,44,70.3%
"
                    Andreas Wai",Kaizen Academy LLC,85,141,37.6%,64,111,36.6%,21,30,41.2%
"
                    Andrew Crowder",Rhode Island Fencing Academy And Club,22,16,57.9%,16,11,59.3%,6,5,54.5%
"
                    Ethan Agaon",Medeo Fencing Club / Freehold Fencing Academy,301,229,56.8%,229,160,58.9%,72,69,51.1%
"
                    Harry Dweck",Freehold Fencing Academy,6,1,85.7%,4,1,80.0%,2,-,100.0%
"
                    Aria Hammerstrom",Nellya Fencers,264,244,52.0%,199,178,52.8%,65,66,49.6%
"
                    Anika Breker",Rhode Island Fencing Academy And Club,333,166,66.7%,240,106,69.4%,93,60,60.8%
"
                    Lawrence Tan",Brooklyn Bridge Fencing Club / Golubitsky Fencing Center,68,33,67.3%,47,23,67.1%,21,10,67.7%
"
                    Alissa Remeza",Fencing Academy Of Westchester,282,141,66.7%,218,89,71.0%,64,52,55.2%
"
                    Gabriel Hall",Fencing Center Of Chicago,65,69,48.5%,42,53,44.2%,23,16,59.0%
"
                    Marketa Douglas",Rhode Island Fencing Academy And Club,155,150,50.8%,122,111,52.4%,33,39,45.8%
"
                    Sophie Huang",Tim Morehouse Fencing Club (Port Chester) / Fencers School Of Connecticut,73,97,42.9%,59,73,44.7%,14,24,36.8%
