NAME,CLUBS,ATWins,ATLosses,winRatio,poolWins,poolLosses,poolWinRatio,DEWins,DELosses,DEWinRatio
"
                    Matthew Mills",Capital Fencing Academy,7,24,22.6%,7,20,25.9%,-,4,0.0%
"
                    Meredith Powers",Tidewater Fencing Club,286,168,63.0%,199,121,62.2%,87,47,64.9%
"
                    Andrew Jin",University of Southern California Trojan Fencing Club / Cal Fencing Club (UC Berkeley),11,5,68.8%,9,3,75.0%,2,2,50.0%
"
                    Richard Lin",Tim Morehouse Fencing Club (Port Chester),417,202,67.4%,296,129,69.6%,121,73,62.4%
"
                    Sylvie Troxel",Rain City Fencing Center,197,130,60.2%,146,93,61.1%,51,37,58.0%
"
                    VINCENT RODRIGUEZ",San Diego Fencing Center,55,158,25.8%,44,129,25.4%,11,29,27.5%
"
                    Bojan Jovanovic",Jovanovic Fencing / Cambridge Fencing Center,-,-,-,-,-,-,-,-,-
"
                    Owen Abrahams",Northwest Fencing Center,53,72,42.4%,38,58,39.6%,15,14,51.7%
"
                    Charlotte Sanders",University Of Florida Fencing Club,59,88,40.1%,50,68,42.4%,9,20,31.0%
"
                    Katherine Xikes",Integrity Fencing Studio,327,241,57.6%,243,174,58.3%,84,67,55.6%
"
                    Macklan C Luebbe",US Air Force Academy NCAA University / Salle Auriol Seattle,212,99,68.2%,143,69,67.5%,69,30,69.7%
"
                    Harrison Koss",Ataba Fencing Club,31,32,49.2%,25,23,52.1%,6,9,40.0%
"
                    Sam Lippman",Rain City Fencing Center / Salle Auriol Seattle,367,254,59.1%,272,182,59.9%,95,72,56.9%
"
                    Andrew Klyczek","Tidewater Fencing Club / Fencing Sports Academy, Inc.",371,318,53.8%,283,235,54.6%,88,83,51.5%
"
                    David Linskens",Fencing Academy Of Philadelphia,28,12,70.0%,21,7,75.0%,7,5,58.3%
"
                    Alaina Cabalu",Denison University Fencing NCAA / Precision Athletics Fencing Club,101,305,24.9%,86,251,25.5%,15,54,21.7%
"
                    Kimberley Jang",Fencers Club Inc.,411,201,67.2%,301,130,69.8%,110,71,60.8%
"
                    Terence Jiang",Platinum Fencing Academy,47,154,23.4%,38,125,23.3%,9,29,23.7%
"
                    Jim Levandowski",Capital District Fencing School,15,15,50.0%,13,10,56.5%,2,5,28.6%
"
                    Jennifer Anderson",Northern Colorado Fencers,50,84,37.3%,43,64,40.2%,7,20,25.9%
"
                    Brandon Witz",Madison Fencing Academy,13,13,50.0%,11,9,55.0%,2,4,33.3%
"
                    Drake Bloodworth",Saint Louis Fencing Club,29,33,46.8%,20,29,40.8%,9,4,69.2%
"
                    Michael Sypes",Phoenix Falcons Fencing Club,23,29,44.2%,19,21,47.5%,4,8,33.3%
"
                    Eason Fang",Sigma Fencing Academy,258,337,43.4%,192,268,41.7%,66,69,48.9%
"
                    Gary North",Penta Olympic Fencing Club,288,122,70.2%,196,86,69.5%,92,36,71.9%
"
                    Angel(Daying) Liu",Star Fencing Academy,511,283,64.4%,375,186,66.8%,136,97,58.4%
"
                    Lydia Fabry","Avant Garde Fencers Club, Inc (CA) (AGFC) / South Bay Fencing Academy",90,29,75.6%,60,17,77.9%,30,12,71.4%
"
                    Madeline Engelman-Sanz",Bergen Fencing Club,508,186,73.2%,356,110,76.4%,152,76,66.7%
"
                    Hamza Shousha",Peoria Fencing Academy,273,165,62.3%,195,111,63.7%,78,54,59.1%
"
                    Emmanuel Kaunitz",Forge Fencing Teams,45,21,68.2%,34,12,73.9%,11,9,55.0%
"
                    Aisling Treacy",Globus Fencing Academy / Globus Fencing Academy,189,231,45.0%,149,179,45.4%,40,52,43.5%
"
                    Brady Lee",Globus Fencing Academy,125,102,55.1%,92,75,55.1%,33,27,55.0%
"
                    James Jackson",Premier Fencing Alliance,305,311,49.5%,236,239,49.7%,69,72,48.9%
"
                    Chase Callahan",Boston Fencing Club / South Bay Fencing Academy,431,265,61.9%,323,186,63.5%,108,79,57.8%
"
                    Maksymilian Skarbonkiewicz",Oregon Fencing Alliance,310,168,64.9%,227,114,66.6%,83,54,60.6%
"
                    Hudson Santana",New York Athletic Club,3,3,50.0%,3,2,60.0%,-,1,0.0%
"
                    Tim Payne",Parkway Fencing Club / Parkway Fencing Club,21,18,53.8%,15,12,55.6%,6,6,50.0%
"
                    Evan Kuo",Austin Fencers Club / Austin Fencers Club,226,260,46.5%,178,199,47.2%,48,61,44.0%
"
                    Craig Kraemer",New Orleans Fencers Club,18,14,56.2%,11,10,52.4%,7,4,63.6%
"
                    Samuel Garrett",Wayne State University NCAA / Center for Blade Arts,291,178,62.0%,208,128,61.9%,83,50,62.4%
"
                    Kyle Garcia-Rogers",Vivo Fencing Club / University Of Michigan Fencing Club,62,51,54.9%,41,39,51.2%,21,12,63.6%
"
                    Liana Semel",Way Of The Sword.Org,66,19,77.6%,40,12,76.9%,26,7,78.8%
"
                    Katelyn Xu",Fortune Fencing,119,180,39.8%,100,141,41.5%,19,39,32.8%
"
                    Ashley Covitz",Virginia Tech Fencing Club / Dublin Fencing Club,70,134,34.3%,53,108,32.9%,17,26,39.5%
"
                    Owen Young",South Denver Fencing Academy,90,89,50.3%,67,72,48.2%,23,17,57.5%
"
                    Ethan Leung",Southwest Florida Fencing Academy,-,-,-,-,-,-,-,-,-
"
                    Nolan Stuessy",Salle D'Armes Bosco,15,12,55.6%,9,8,52.9%,6,4,60.0%
"
                    Joseph Oliverius",Elite Fencing Academy (GA),236,113,67.6%,175,73,70.6%,61,40,60.4%
"
                    Gregory Jones",Rain City Fencing Center,-,-,-,-,-,-,-,-,-
"
                    JACK GRIFFITH",US Air Force Academy NCAA University / Naples Fencing Academy,360,186,65.9%,257,129,66.6%,103,57,64.4%
"
                    Matthew Chan",American Fencing Academy Of Dayton,175,89,66.3%,119,60,66.5%,56,29,65.9%
"
                    Waldron Johnson",Nova Fencing Club,20,22,47.6%,15,17,46.9%,5,5,50.0%
"
                    Samuel Kragh",Center for Blade Arts,-,-,-,-,-,-,-,-,-
"
                    Eric Zhang",Olympic Fencers Club,181,140,56.4%,136,101,57.4%,45,39,53.6%
"
                    Michael Costin","Avant Garde Fencers Club, Inc (CA) (AGFC)",67,19,77.9%,48,9,84.2%,19,10,65.5%
"
                    Rene Castellanos",Fencing Center Of Chicago,25,59,29.8%,21,46,31.3%,4,13,23.5%
"
                    Shawn Agaon",Medeo Fencing Club / Freehold Fencing Academy,401,202,66.5%,286,131,68.6%,115,71,61.8%
"
                    Xavier Reyes",Southern California Fencing Academy (SOCALFA),346,218,61.3%,264,149,63.9%,82,69,54.3%
"
                    Sebastian Klein",Brooklyn Bridge Fencing Club / Cornell University NCAA,139,152,47.8%,104,117,47.1%,35,35,50.0%
"
                    Richard Exnicios",New Orleans Fencers Club,46,64,41.8%,36,48,42.9%,10,16,38.5%
"
                    Samuel (Sam) Moelis",Fencers Club Inc. / Columbia University NCAA,55,13,80.9%,42,5,89.4%,13,8,61.9%
"
                    Adam Chirashnya",Academy Of Fencing Masters (AFM),477,372,56.2%,362,273,57.0%,115,99,53.7%
"
                    ZIXI ZOU",Cavalier Fencing Club / Cavalier Fencing Club,39,18,68.4%,25,12,67.6%,14,6,70.0%
"
                    Lynnette Whitt",Rockville Fencing Academy,90,93,49.2%,72,67,51.8%,18,26,40.9%
"
                    Aleksandr Nudelman",South Florida Fencing Club,22,9,71.0%,15,6,71.4%,7,3,70.0%
"
                    Conner Bailey",Cleveland State Univ. NCAA / Northwest Indiana Fencing Club,26,35,42.6%,21,28,42.9%,5,7,41.7%
"
                    Nikita Kogan",Advance Fencing And Fitness Academy,150,179,45.6%,122,136,47.3%,28,43,39.4%
"
                    Maya Shum",LA International Fencing,250,272,47.9%,202,208,49.3%,48,64,42.9%
"
                    Michelle Pan",Wellesley College Fencing NCAA / Olympia Fencing Center,326,303,51.8%,246,221,52.7%,80,82,49.4%
"
                    Zixuan Liang",University of California Davis / Davis Fencing Academy,64,56,53.3%,48,40,54.5%,16,16,50.0%
"
                    Jadeyn Williams",Advance Fencing And Fitness Academy / University Of Notre Dame NCAA,413,104,79.9%,276,61,81.9%,137,43,76.1%
"
                    Arthur rautureau",North Bay Fencing Academy,237,151,61.1%,173,104,62.5%,64,47,57.7%
"
                    Ryan Liu",Gutkovskiy Fencing Academy / Gutkovskiy Fencing Academy,226,352,39.1%,174,275,38.8%,52,77,40.3%
"
                    Eric Speicher",Ace Fencing Academy / Conejo Fencing Club,36,29,55.4%,25,22,53.2%,11,7,61.1%
"
                    Anya Mehrotra",Alliance Fencing Academy,726,361,66.8%,508,241,67.8%,218,120,64.5%
"
                    Keeth Smart ",Peter Westbrook Foundation,-,-,-,-,-,-,-,-,-
"
                    Claire Lyon",Corsair Fencing Club,40,79,33.6%,33,61,35.1%,7,18,28.0%
"
                    Michael Wang",Brooklyn Bridge Fencing Club / Fencing Club Of Mercer County,179,217,45.2%,134,169,44.2%,45,48,48.4%
"
                    Bowen Zhao",The Fencers Academy,262,357,42.3%,203,279,42.1%,59,78,43.1%
"
                    Logan Wang",Team Touche Fencing Center,110,59,65.1%,83,40,67.5%,27,19,58.7%
"
                    Talia Weiss",Alliance Fencing Academy / The Ohio State University NCAA,175,157,52.7%,146,122,54.5%,29,35,45.3%
"
                    Shanon Luu",US Air Force Academy NCAA University / Golden State Fencing Academy,135,123,52.3%,106,91,53.8%,29,32,47.5%
"
                    Timothy Robinson",Presidio Fencing Club / University Of Calif/Santa Barbara (UCSB),35,17,67.3%,25,11,69.4%,10,6,62.5%
"
                    Samuel Hagen",Clemson University Fencing Club,40,32,55.6%,34,24,58.6%,6,8,42.9%
"
                    Timur Hursever",New York Fencing Academy,14,7,66.7%,10,4,71.4%,4,3,57.1%
"
                    Michael Liu",Fencing Institute Of Texas,263,174,60.2%,202,118,63.1%,61,56,52.1%
"
                    Ethan Hublall",Globus Fencing Academy,152,128,54.3%,113,93,54.9%,39,35,52.7%
"
                    Cameron Dunklin",NKY Fencing Academy (NKFA),38,24,61.3%,28,17,62.2%,10,7,58.8%
"
                    Alexander North","Fencing Sports Academy, Inc.",300,193,60.9%,231,131,63.8%,69,62,52.7%
"
                    Ryanne Leslie",University Of Notre Dame NCAA / V Fencing Club,600,200,75.0%,409,115,78.1%,191,85,69.2%
"
                    Katarina Roloff",South Denver Fencing Academy,94,103,47.7%,75,82,47.8%,19,21,47.5%
"
                    Oscar Loiseau",Escrime Du Lac,339,276,55.1%,254,202,55.7%,85,74,53.5%
"
                    Rian Wei",Capital Fencing Academy,131,85,60.6%,96,60,61.5%,35,25,58.3%
"
                    Davide Marini",Olympia Fencing Center,46,73,38.7%,37,56,39.8%,9,17,34.6%
"
                    Traci Sethre",Fargo-Moorhead Fencing Club,60,78,43.5%,41,59,41.0%,19,19,50.0%
"
                    Brianna Mun",LA International Fencing,363,300,54.8%,275,220,55.6%,88,80,52.4%
"
                    AMY ZHAI",LA Fencing Academy of Pomona,179,188,48.8%,136,140,49.3%,43,48,47.3%
"
                    Christopher Bartlett",Four Corners Fencing Club,45,20,69.2%,33,12,73.3%,12,8,60.0%
"
                    John (Trace) Rutherfurd",University of Alabama,45,18,71.4%,33,10,76.7%,12,8,60.0%
"
                    Ryan Wong",Manhattan Fencing Center,324,217,59.9%,236,153,60.7%,88,64,57.9%
"
                    Josh Liu",South Denver Fencing Academy,269,153,63.7%,201,103,66.1%,68,50,57.6%
"
                    Jack Bernard",Triple Threat Fencing Academy,271,347,43.9%,214,266,44.6%,57,81,41.3%
"
                    Benjamin Gong",Jovanovic Fencing / Cambridge Fencing Center,512,325,61.2%,381,225,62.9%,131,100,56.7%
"
                    Atum Colón",Shoreline Fencers Club,29,39,42.6%,20,32,38.5%,9,7,56.2%
"
                    Joshua Ryan",Boston Fencing Club,60,85,41.4%,44,68,39.3%,16,17,48.5%
"
                    Vinicius Alonso",Masters Fencing Club / Masters Fencing Club,137,159,46.3%,105,126,45.5%,32,33,49.2%
"
                    Jacob Wong",Worldwide Fencing Academy,480,419,53.4%,359,310,53.7%,121,109,52.6%
"
                    Draper Dayton",Massialas Foundation (M Team),63,35,64.3%,47,23,67.1%,16,12,57.1%
"
                    Yasser Mahmoud",Boston Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Miranda Dieck",Cardinal Fencing Club,256,334,43.4%,199,260,43.4%,57,74,43.5%
"
                    Ethan Black",DC Fencers Club,39,87,31.0%,33,69,32.4%,6,18,25.0%
"
                    Audrey Baker",US Air Force Academy NCAA University / Bergen Fencing Club,357,350,50.5%,298,261,53.3%,59,89,39.9%
"
                    jesse mones",Lotus Fencing Academy,57,41,58.2%,45,30,60.0%,12,11,52.2%
"
                    Marcel Dolegiewicz",Midwest Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Ian Rozich",Plymouth/Ann Arbor Fencing Academy,3,5,37.5%,2,4,33.3%,1,1,50.0%
"
                    Rachel Li",Star Fencing Academy,483,310,60.9%,368,212,63.4%,115,98,54.0%
"
                    Brayden Bridges",Stoccata Fencing Academy & Club,18,32,36.0%,15,26,36.6%,3,6,33.3%
"
                    Justin Lee",Nazlymov Fencing Foundation / Nazlymov Fencing Foundation,460,282,62.0%,339,195,63.5%,121,87,58.2%
"
                    Benjamin Korn",Sierra Blades Fencing Academy,-,-,-,-,-,-,-,-,-
"
                    Jeffery Sun",New York Fencing Academy,146,236,38.2%,115,185,38.3%,31,51,37.8%
"
                    Lucia Abajo Salcedo",San Diego Fencing Center,13,4,76.5%,8,3,72.7%,5,1,83.3%
"
                    Aliya Ferguson",Wasatch Fencing,27,86,23.9%,21,73,22.3%,6,13,31.6%
"
                    Miriam Grady",Escrime Du Lac / University Of Notre Dame NCAA,215,66,76.5%,143,36,79.9%,72,30,70.6%
"
                    Maria Skourletos",Fencing Center Of Chicago,276,353,43.9%,214,271,44.1%,62,82,43.1%
"
                    Ethan Wang",Silicon Valley Fencing Center,395,368,51.8%,304,272,52.8%,91,96,48.7%
"
                    Stephen Kim",Manhattan Fencing Center / Duke University Fencing NCAA,146,66,68.9%,104,43,70.7%,42,23,64.6%
"
                    Danielle Golden",Vassar College Fencing Club NCAA / Boston Fencing Club,47,75,38.5%,34,59,36.6%,13,16,44.8%
"
                    Diya Ranjan",Bergen Fencing Club,119,138,46.3%,90,104,46.4%,29,34,46.0%
"
                    Zandro Mendoza",LA International Fencing,78,97,44.6%,62,74,45.6%,16,23,41.0%
"
                    Ryan Fecarotta",Salle Auriol Seattle,110,131,45.6%,77,100,43.5%,33,31,51.6%
"
                    Ethan Yang",Epic Fencing Club / Nashville Academy of Fencing,136,121,52.9%,103,87,54.2%,33,34,49.3%
"
                    David Willette",Massialas Foundation (M Team),-,-,-,-,-,-,-,-,-
"
                    Brandon Chien",TeamK Fencing,164,81,66.9%,115,55,67.6%,49,26,65.3%
"
                    Garrett Kane",Vermont Fencing Alliance,5,6,45.5%,5,4,55.6%,-,2,0.0%
"
                    Ryan Stevenson",Rhode Island Fencing Academy And Club,24,20,54.5%,17,15,53.1%,7,5,58.3%
"
                    McKenzie Tusantoso",Team Touche Fencing Center,105,82,56.1%,78,59,56.9%,27,23,54.0%
"
                    Adam Mathieu",Fencers Club Inc.,151,27,84.8%,98,10,90.7%,53,17,75.7%
"
                    Jason Smotherman",Indianapolis Fencing Club / University Of Tennessee Knoxville Fencing Club,12,4,75.0%,9,2,81.8%,3,2,60.0%
"
                    William Chien",TeamK Fencing,25,43,36.8%,20,33,37.7%,5,10,33.3%
"
                    Sitara Reganti",High Desert Fencing Alliance,130,250,34.2%,113,202,35.9%,17,48,26.2%
"
                    Jessica Xu",Maximum Fencing Club,296,238,55.4%,217,172,55.8%,79,66,54.5%
"
                    Ian Pal",Triple Threat Fencing Academy,148,209,41.5%,115,162,41.5%,33,47,41.2%
"
                    YUANYUAN liu",AIC  Fencing Club,6,2,75.0%,5,1,83.3%,1,1,50.0%
"
                    Noah Lee",San Diego Fencing Center,349,220,61.3%,243,155,61.1%,106,65,62.0%
"
                    Kara Linder",University Of Notre Dame NCAA,236,59,80.0%,158,28,84.9%,78,31,71.6%
"
                    Matthew Gosmeyer",Indianapolis Fencing Club,69,43,61.6%,52,27,65.8%,17,16,51.5%
"
                    Liam Hull",Cardinal Fencing Academy,140,159,46.8%,109,119,47.8%,31,40,43.7%
"
                    Jeffrey zhang",Southern California Fencing Academy (SOCALFA),277,224,55.3%,203,167,54.9%,74,57,56.5%
"
                    Paul Moody",Salle Auriol Seattle,83,88,48.5%,66,64,50.8%,17,24,41.5%
"
                    Lee Zhong",North Shore Fencers Club,17,33,34.0%,15,26,36.6%,2,7,22.2%
"
                    Yuming Zou",Birmingham Fencing Club,204,225,47.6%,161,168,48.9%,43,57,43.0%
"
                    JIMENA TORRES",Elite Fencing Club / Elite Fencing Club,75,16,82.4%,45,9,83.3%,30,7,81.1%
"
                    Karen Kim",Frisco Fencing Academy,71,130,35.3%,54,105,34.0%,17,25,40.5%
"
                    Sam Roberts",Phoenix Fencing Academy,180,111,61.9%,131,83,61.2%,49,28,63.6%
"
                    Brennan Black",Florida Fencing Academy / University Of Florida Fencing Club,30,22,57.7%,20,15,57.1%,10,7,58.8%
"
                    Nathan Kim",Swords Fencing Studio,723,395,64.7%,511,265,65.9%,212,130,62.0%
"
                    Giulio Formenti",Fencers Club Inc.,140,58,70.7%,96,40,70.6%,44,18,71.0%
"
                    Lauren Colella",Arena Fencing Academy LLC,81,116,41.1%,65,88,42.5%,16,28,36.4%
"
                    Maya Golovitser",South Bay Fencing Academy,264,325,44.8%,211,250,45.8%,53,75,41.4%
"
                    James Ott",Richmond Fencing Club,160,48,76.9%,113,27,80.7%,47,21,69.1%
"
                    James (Erich) Bookwalter",Ataba Fencing Club,9,7,56.2%,5,5,50.0%,4,2,66.7%
"
                    Stella Yu",LA Fencing Academy of Pomona,111,121,47.8%,83,90,48.0%,28,31,47.5%
"
                    Roger Pierro",Fencers Club Inc.,51,98,34.2%,44,76,36.7%,7,22,24.1%
"
                    Vernon Collins",Still Point Fencing,21,28,42.9%,16,21,43.2%,5,7,41.7%
"
                    Paul Valentino",Sacred Heart University NCAA,31,66,32.0%,27,53,33.8%,4,13,23.5%
"
                    Olympia Christothoulou",Laguna Fencing Center,323,193,62.6%,238,135,63.8%,85,58,59.4%
"
                    Jake Hillard",Phoenix Falcons Fencing Club / Arizona State University Fencing Club,9,3,75.0%,8,1,88.9%,1,2,33.3%
"
                    Joseph Kormann",Modern Duelists Fencing Academy,54,84,39.1%,43,66,39.4%,11,18,37.9%
"
                    Mathew Johnstone",Red Door Fencing,21,17,55.3%,14,12,53.8%,7,5,58.3%
"
                    Eric Kitagawa",New Jersey Fencing Alliance,242,318,43.2%,193,252,43.4%,49,66,42.6%
"
                    Wolfang Mejias",Miami Lakes Fencing Club,35,6,85.4%,23,3,88.5%,12,3,80.0%
"
                    Mariusz Dolegiewicz",Midwest Fencing Club,50,23,68.5%,38,13,74.5%,12,10,54.5%
"
                    Luka Simatos",Escrimeur Fencers Club,71,115,38.2%,60,88,40.5%,11,27,28.9%
"
                    Sarah Timmons",Red Door Fencing,90,69,56.6%,69,50,58.0%,21,19,52.5%
"
                    Imogen Harrison",Oregon Fencing Alliance / University Of Notre Dame NCAA,195,102,65.7%,155,65,70.5%,40,37,51.9%
"
                    Shang Qiao",Echo Fencing,14,4,77.8%,11,2,84.6%,3,2,60.0%
"
                    Shao Zhu",Integrity Fencing Studio,70,67,51.1%,53,49,52.0%,17,18,48.6%
"
                    justin wang",Cavalier Fencing Club,249,237,51.2%,185,175,51.4%,64,62,50.8%
"
                    Julie Polletta",Corsair Fencing Club,51,58,46.8%,36,43,45.6%,15,15,50.0%
"
                    Samuel Craig",Globus Fencing Academy,360,207,63.5%,254,142,64.1%,106,65,62.0%
"
                    Nathan Anderson",Denver Fencing Center / Denver Fencing Foundation,196,67,74.5%,126,42,75.0%,70,25,73.7%
"
                    Babacar Keita",Tim Morehouse Fencing Club / Tim Morehouse Fencing Club (Port Chester),20,8,71.4%,13,5,72.2%,7,3,70.0%
"
                    Victoria Mo",New York Athletic Club,44,23,65.7%,31,16,66.0%,13,7,65.0%
"
                    Skylar Harfeld",Brooklyn Bridge Fencing Club,45,30,60.0%,39,20,66.1%,6,10,37.5%
"
                    Amanda Lai",Academy Of Fencing Masters (AFM),180,249,42.0%,148,191,43.7%,32,58,35.6%
"
                    Ayrton Sako",Greensboro Fencing Academy / Delta H Fencers,228,198,53.5%,166,153,52.0%,62,45,57.9%
"
                    Chejsa-Kaili Seck",Long Island University NCAA / Peter Westbrook Foundation,143,85,62.7%,111,59,65.3%,32,26,55.2%
"
                    Ethan Weinstein",University of Wisconsin-Madison,48,52,48.0%,37,37,50.0%,11,15,42.3%
"
                    Kian Gonzalez",Woodlands International Fencing Club,168,101,62.5%,115,68,62.8%,53,33,61.6%
"
                    William Gerrish",Tim Morehouse Fencing Club (Port Chester),301,241,55.5%,232,171,57.6%,69,70,49.6%
"
                    David Dodin",New York Fencing Academy,573,162,78.0%,371,98,79.1%,202,64,75.9%
"
                    Camilla Sise",Pioneer Valley Fencing Academy,57,37,60.6%,44,24,64.7%,13,13,50.0%
"
                    Benjamin Musher",LA International Fencing,320,225,58.7%,246,160,60.6%,74,65,53.2%
"
                    Louis Montorio",Sheridan Fencing Academy / Sheridan Fencing Academy of Westchester,65,16,80.2%,46,7,86.8%,19,9,67.9%
"
                    Maxon Edwards",Renaissance Fencing Club,375,312,54.6%,277,225,55.2%,98,87,53.0%
"
                    Lina Park",Auburn Fencing Club,509,167,75.3%,342,100,77.4%,167,67,71.4%
"
                    Ben Rose",Apex Fencing Academy / AIC  Fencing Club,416,240,63.4%,306,166,64.8%,110,74,59.8%
"
                    Brayden Bonetti",Integrity Fencing Studio,730,348,67.7%,504,234,68.3%,226,114,66.5%
"
                    Semion Kiriakidi",Ludus Fencing Studio,-,-,-,-,-,-,-,-,-
"
                    Kyle Tam",Moe Fencing Club LLC,116,330,26.0%,100,268,27.2%,16,62,20.5%
"
                    Vinzenz Mayer",Wildcat Fencing Club,38,41,48.1%,32,30,51.6%,6,11,35.3%
"
                    Francesca Bassa",LA International Fencing / Alliance Fencing Academy,152,35,81.3%,108,14,88.5%,44,21,67.7%
"
                    Eshaal Baber",Orlando Fencing Academy,121,181,40.1%,97,139,41.1%,24,42,36.4%
"
                    Mary Jo Ratchford",Iowa City Fencing Center,11,20,35.5%,9,16,36.0%,2,4,33.3%
"
                    Tommy Dohoney",Marx Fencing Academy,11,39,22.0%,7,32,17.9%,4,7,36.4%
"
                    DIana Preciado",San Diego Fencing Center,-,-,-,-,-,-,-,-,-
"
                    Gardner Dickinson",Traverse City Fencing Club,6,7,46.2%,5,5,50.0%,1,2,33.3%
"
                    William Zhang",RedStar Fencing Club Chicago,145,83,63.6%,100,58,63.3%,45,25,64.3%
